Image,b_val,Mc
0,2.329165652948456,2.214901857706584
2,1.938300619235529,2.0411840649452837
4,1.7211533782839026,1.9977546167549582
6,2.285736204758131,2.171472409516259
8,2.2423067565678054,2.214901857706584
10,2.285736204758131,2.171472409516259
12,1.808012274664553,1.9977546167549582
14,2.4160245493291064,2.214901857706584
16,2.0685889638065045,2.128042961325934
18,1.938300619235529,2.0846135131356087
20,2.11201841199683,2.2583313058969097
22,1.4605766891419514,1.9977546167549582
24,1.7211533782839026,2.128042961325934
26,2.11201841199683,2.34519020227756
28,1.2,1.8674662721839828
30,1.590865033712927,2.128042961325934
32,2.155447860187155,2.34519020227756
34,2.0685889638065045,2.3017607540872347
