Image,b_val,Mc
0,3.021153378283902,2.171472409516259
2,3.281730067425853,2.214901857706584
4,3.021153378283902,2.171472409516259
6,2.8908650337129265,2.128042961325934
8,3.93317179028073,2.2583313058969097
10,2.5,2.128042961325934
12,3.021153378283902,2.3017607540872347
14,3.021153378283902,2.171472409516259
16,3.542306756567804,2.214901857706584
18,3.6725951011387794,2.214901857706584
20,2.760576689141951,2.128042961325934
22,3.021153378283902,2.171472409516259
24,5.496631925132435,2.3017607540872347
26,2.8908650337129265,2.214901857706584
28,3.021153378283902,2.171472409516259
30,4.454325168564632,2.34519020227756
32,3.1514417228548774,2.214901857706584
34,2.6302883445709755,2.128042961325934
