 ,Area,X,Y,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,4,819.000,71.000,2.257,2.257,0.000,1.000,100,1.000,1.000,1.000
2,2,808.000,81.000,2.596,0.981,45.000,0.785,100,2.646,0.378,0.667
3,4,814.000,83.000,2.257,2.257,0.000,1.000,100,1.000,1.000,1.000
4,31,811.694,91.919,8.937,4.417,40.902,0.230,100,2.024,0.494,0.456
5,145,810.983,107.169,18.141,10.177,167.113,0.125,100,1.783,0.561,0.370
6,3,811.167,100.167,2.365,1.615,45.000,1.000,100,1.464,0.683,0.857
7,11,814.955,100.591,4.458,3.142,176.028,0.887,100,1.419,0.705,0.917
8,13,787.808,105.423,6.376,2.596,45.140,0.753,100,2.456,0.407,0.765
9,18,794.333,107.278,7.500,3.056,73.057,0.558,100,2.454,0.407,0.766
10,13,789.654,113.731,7.080,2.338,61.845,0.371,100,3.028,0.330,0.553
11,10,779.300,117.200,7.628,1.669,51.024,0.349,100,4.571,0.219,0.588
12,5,792.100,116.300,3.144,2.025,108.435,1.000,100,1.553,0.644,0.909
13,107,799.360,126.846,16.077,8.474,99.546,0.192,100,1.897,0.527,0.590
14,5,785.900,120.300,3.144,2.025,71.565,1.000,100,1.553,0.644,0.909
15,24,820.833,129.125,12.085,2.529,91.034,0.221,100,4.779,0.209,0.696
16,8,788.375,125.000,3.651,2.790,124.722,0.914,100,1.308,0.764,0.800
17,8,773.625,127.500,5.094,2.000,63.549,0.335,100,2.548,0.393,0.485
18,9,789.278,130.833,3.685,3.109,82.372,1.000,100,1.185,0.844,0.857
19,196,802.418,154.423,22.561,11.062,70.323,0.065,100,2.040,0.490,0.310
20,10,769.100,135.100,4.846,2.627,40.692,0.887,100,1.844,0.542,0.769
21,4,787.500,135.250,2.734,1.863,0.000,1.000,100,1.468,0.681,0.800
22,6,807.000,137.333,3.931,1.943,149.036,0.769,100,2.023,0.494,0.706
23,3,818.500,136.500,3.385,1.128,0.000,0.967,100,3.000,0.333,1.000
24,3,799.833,138.167,2.365,1.615,135.000,1.000,100,1.464,0.683,0.857
25,65,785.500,145.608,10.741,7.705,117.431,0.428,100,1.394,0.717,0.625
26,94,779.372,158.957,16.803,7.123,93.332,0.143,100,2.359,0.424,0.372
27,25,757.620,157.660,8.794,3.620,48.417,0.247,100,2.429,0.412,0.467
28,2,757.000,155.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
29,16,762.000,164.188,6.072,3.355,155.029,0.276,100,1.810,0.553,0.464
30,8,752.625,168.125,5.363,1.899,117.391,0.645,100,2.823,0.354,0.727
31,2,818.000,166.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
32,10,770.500,169.900,6.247,2.038,61.121,0.536,100,3.065,0.326,0.645
33,12,758.167,170.583,4.988,3.063,45.307,0.489,100,1.629,0.614,0.545
34,6,782.833,173.333,4.134,1.848,102.933,0.809,100,2.237,0.447,0.857
35,10,747.400,175.400,5.591,2.277,46.499,0.238,100,2.455,0.407,0.500
36,5,804.700,174.700,2.603,2.446,45.001,0.641,100,1.064,0.940,0.667
37,3,808.167,173.833,2.365,1.615,135.000,1.000,100,1.464,0.683,0.857
38,56,778.643,180.411,13.588,5.247,18.768,0.394,100,2.589,0.386,0.599
39,2,754.000,177.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
40,40,762.000,184.500,10.901,4.672,58.608,0.260,100,2.333,0.429,0.530
41,10,808.400,180.400,4.489,2.837,13.662,0.408,100,1.582,0.632,0.556
42,61,784.746,197.189,25.959,2.992,85.376,0.190,100,8.677,0.115,0.667
43,24,772.292,190.042,6.743,4.532,93.219,0.615,100,1.488,0.672,0.738
44,85,798.100,204.041,33.439,3.236,83.250,0.129,100,10.332,0.097,0.376
45,28,746.714,196.750,14.813,2.407,39.207,0.289,100,6.155,0.162,0.519
46,36,759.750,198.611,10.667,4.297,77.817,0.585,100,2.482,0.403,0.750
47,50,771.300,198.680,10.408,6.117,144.747,0.276,100,1.702,0.588,0.552
48,7,733.786,197.357,3.507,2.542,120.473,1.000,100,1.380,0.725,0.875
49,2,740.000,205.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
50,192,753.026,220.698,22.789,10.727,87.093,0.142,100,2.124,0.471,0.459
51,13,777.577,207.115,5.471,3.026,128.760,0.753,100,1.808,0.553,0.765
52,39,737.679,214.321,10.881,4.564,62.048,0.315,100,2.384,0.419,0.557
53,4,724.750,212.250,3.589,1.419,135.000,0.611,100,2.530,0.395,0.615
54,37,780.878,216.419,7.471,6.306,162.813,0.275,100,1.185,0.844,0.548
55,6,722.167,216.833,4.491,1.701,20.457,0.465,100,2.640,0.379,0.545
56,201,736.037,247.137,25.422,10.067,98.029,0.089,100,2.525,0.396,0.417
57,14,772.286,226.143,6.235,2.859,134.275,0.675,100,2.181,0.459,0.700
58,2,784.000,224.000,2.596,0.981,135.000,0.785,100,2.646,0.378,0.667
59,5,717.100,225.300,4.474,1.423,35.280,0.641,100,3.145,0.318,0.667
60,16,782.688,227.688,4.665,4.367,45.001,0.927,100,1.068,0.936,0.780
61,13,790.115,229.423,6.284,2.634,99.713,0.545,100,2.386,0.419,0.684
62,46,715.500,233.935,9.000,6.508,107.950,0.211,100,1.383,0.723,0.548
63,5,736.100,230.100,3.452,1.844,92.855,0.572,100,1.871,0.534,0.714
64,5,787.100,233.900,4.076,1.562,110.994,0.674,100,2.610,0.383,0.769
65,7,768.214,235.071,4.154,2.146,8.350,0.943,100,1.936,0.517,0.933
66,120,759.467,252.867,23.103,6.614,101.916,0.157,100,3.493,0.286,0.457
67,3,788.500,238.500,3.385,1.128,90.000,0.809,100,3.000,0.333,1.000
68,10,710.000,241.500,4.096,3.109,0.000,0.925,100,1.318,0.759,0.833
69,8,750.875,242.375,3.755,2.712,175.735,0.567,100,1.385,0.722,0.727
