 ,Area,X,Y,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,3,69.833,1.500,3.213,1.189,61.845,0.643,100,2.702,0.370,0.667
2,12,188.417,3.667,5.195,2.941,152.053,0.217,100,1.766,0.566,0.369
3,19,198.447,2.974,7.134,3.391,56.405,0.796,100,2.104,0.475,0.809
4,4,377.000,1.500,4.441,1.147,148.283,0.513,100,3.873,0.258,0.571
5,18,420.833,3.556,6.328,3.622,107.532,0.293,100,1.747,0.572,0.610
6,17,523.794,1.912,5.123,4.225,156.921,0.609,100,1.213,0.825,0.642
7,2,543.500,1.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
8,3,546.833,0.833,2.365,1.615,45.000,1.000,100,1.464,0.683,0.857
9,17,558.735,3.618,7.489,2.890,44.047,0.246,100,2.591,0.386,0.507
10,4,587.000,1.750,4.428,1.150,143.909,0.513,100,3.850,0.260,0.571
11,7,593.357,1.786,5.079,1.755,12.944,0.375,100,2.894,0.346,0.500
12,3,599.500,1.500,3.385,1.128,90.000,0.809,100,3.000,0.333,1.000
13,10,622.700,3.300,6.638,1.918,67.805,0.310,100,3.461,0.289,0.500
14,106,658.981,4.151,14.360,9.398,167.844,0.315,100,1.528,0.654,0.688
15,9,801.056,1.389,3.975,2.883,153.435,0.353,100,1.379,0.725,0.562
16,50,26.460,9.200,9.739,6.537,86.239,0.111,100,1.490,0.671,0.361
17,171,56.547,20.132,20.778,10.479,56.057,0.060,100,1.983,0.504,0.333
18,2,120.500,2.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
19,19,134.395,5.395,5.286,4.576,78.265,0.203,100,1.155,0.866,0.442
20,3,190.500,1.500,3.385,1.128,0.000,0.967,100,3.000,0.333,1.000
21,21,470.167,5.357,6.411,4.171,94.588,0.500,100,1.537,0.651,0.553
22,6,582.167,4.000,4.471,1.709,104.727,0.322,100,2.617,0.382,0.462
23,4,794.750,2.250,3.192,1.596,71.565,0.857,100,2.000,0.500,0.800
24,16,164.562,4.750,6.347,3.210,120.510,0.302,100,1.978,0.506,0.471
25,3,182.833,3.500,3.213,1.189,118.155,0.643,100,2.702,0.370,0.667
26,32,370.594,5.969,9.694,4.203,2.619,0.151,100,2.307,0.434,0.350
27,7,673.929,4.214,3.173,2.809,85.269,0.496,100,1.130,0.885,0.583
28,25,721.660,7.380,8.599,3.702,108.977,0.414,100,2.323,0.430,0.515
29,16,383.312,7.250,5.659,3.600,153.006,0.251,100,1.572,0.636,0.410
30,2,430.000,3.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
31,3,797.500,3.500,3.385,1.128,0.000,0.967,100,3.000,0.333,1.000
32,2,438.000,5.000,2.596,0.981,45.000,0.785,100,2.646,0.378,0.667
33,42,594.976,11.690,10.528,5.079,72.411,0.125,100,2.073,0.482,0.368
34,11,626.682,7.500,4.960,2.824,118.430,0.244,100,1.757,0.569,0.512
35,9,738.833,5.611,3.919,2.924,20.301,1.000,100,1.340,0.746,0.857
36,2,115.000,5.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
37,19,125.026,13.553,11.810,2.048,65.215,0.116,100,5.765,0.173,0.281
38,35,182.671,10.586,11.766,3.787,144.010,0.237,100,3.107,0.322,0.446
