 ,Area,X,Y,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,91,802.390,101.412,21.939,5.281,54.645,0.042,100,4.154,0.241,0.133
2,15,804.233,106.500,6.853,2.787,60.864,0.238,100,2.459,0.407,0.380
3,20,812.750,110.100,12.330,2.065,23.660,0.190,100,5.970,0.167,0.426
4,13,783.577,112.577,9.350,1.770,35.401,0.393,100,5.281,0.189,0.605
5,20,801.900,121.400,14.831,1.717,84.519,0.170,100,8.638,0.116,0.556
6,3,821.500,114.500,3.385,1.128,90.000,0.809,100,3.000,0.333,1.000
7,20,774.850,128.350,8.702,2.926,65.306,0.181,100,2.974,0.336,0.339
8,25,817.820,133.820,12.832,2.481,63.736,0.173,100,5.173,0.193,0.382
9,5,786.500,130.500,5.642,1.128,0.000,0.599,100,5.000,0.200,1.000
10,16,795.250,133.250,7.792,2.614,174.923,0.289,100,2.981,0.336,0.500
11,16,806.750,135.750,10.745,1.896,135.000,0.348,100,5.668,0.176,0.571
12,8,777.875,142.625,6.884,1.480,101.310,0.410,100,4.653,0.215,0.727
13,16,808.000,146.500,11.016,1.849,54.217,0.302,100,5.957,0.168,0.561
14,11,783.864,144.227,6.752,2.074,9.742,0.394,100,3.255,0.307,0.595
15,16,762.312,150.500,7.186,2.835,79.836,0.188,100,2.535,0.395,0.376
16,21,796.405,147.595,13.343,2.004,145.645,0.228,100,6.659,0.150,0.483
17,6,788.833,148.667,4.986,1.532,104.655,0.555,100,3.254,0.307,0.750
18,12,780.917,151.583,8.178,1.868,119.485,0.372,100,4.377,0.228,0.571
19,6,787.333,153.833,4.387,1.742,32.243,0.686,100,2.519,0.397,0.706
20,40,796.975,163.275,15.409,3.305,112.110,0.121,100,4.662,0.214,0.296
21,21,805.500,161.310,15.613,1.713,97.355,0.171,100,9.117,0.110,0.553
22,3,757.500,155.500,3.385,1.128,0.000,0.967,100,3.000,0.333,1.000
23,12,782.917,160.417,8.375,1.824,58.077,0.372,100,4.590,0.218,0.585
24,11,761.955,160.045,8.011,1.748,128.568,0.480,100,4.583,0.218,0.629
25,23,758.022,166.326,8.378,3.495,171.664,0.220,100,2.397,0.417,0.354
26,9,769.500,164.500,6.150,1.863,149.150,0.482,100,3.300,0.303,0.621
27,8,775.875,165.375,6.300,1.617,24.495,0.520,100,3.896,0.257,0.696
28,17,782.618,171.382,12.204,1.774,102.503,0.218,100,6.881,0.145,0.531
29,19,773.026,175.395,9.430,2.565,106.734,0.220,100,3.676,0.272,0.413
30,9,749.500,172.500,6.150,1.863,30.850,0.482,100,3.300,0.303,0.621
31,15,807.900,177.100,11.404,1.675,100.218,0.232,100,6.810,0.147,0.600
32,33,763.470,188.894,12.909,3.255,92.258,0.121,100,3.966,0.252,0.288
33,6,780.333,180.833,4.387,1.742,32.243,0.686,100,2.519,0.397,0.706
34,73,783.418,208.240,27.748,3.350,83.113,0.052,100,8.284,0.121,0.179
35,19,751.868,187.395,8.974,2.696,104.228,0.236,100,3.329,0.300,0.447
36,21,773.071,189.071,13.829,1.934,68.594,0.206,100,7.152,0.140,0.488
37,31,799.919,202.565,19.054,2.072,82.291,0.131,100,9.198,0.109,0.449
38,17,743.971,195.324,8.820,2.454,172.063,0.265,100,3.594,0.278,0.479
39,23,754.196,202.587,13.533,2.164,106.009,0.194,100,6.254,0.160,0.484
40,19,774.711,203.289,13.589,1.780,125.522,0.275,100,7.634,0.131,0.559
41,23,739.587,205.761,8.598,3.406,114.695,0.172,100,2.524,0.396,0.324
42,3,725.167,209.167,2.365,1.615,45.000,1.000,100,1.464,0.683,0.857
43,83,753.982,225.030,16.150,6.543,98.095,0.060,100,2.468,0.405,0.286
44,22,792.636,227.136,13.040,2.148,70.304,0.182,100,6.070,0.165,0.419
45,21,733.690,229.262,10.488,2.549,92.762,0.206,100,4.114,0.243,0.400
46,40,722.200,235.950,13.814,3.687,111.065,0.113,100,3.747,0.267,0.266
47,3,712.500,230.500,3.385,1.128,0.000,0.967,100,3.000,0.333,1.000
48,6,713.500,234.000,4.633,1.649,50.310,0.686,100,2.810,0.356,0.750
49,2,710.000,235.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
50,8,740.750,237.000,5.968,1.707,1.939,0.398,100,3.497,0.286,0.640
51,12,712.750,241.417,8.305,1.840,91.280,0.277,100,4.514,0.222,0.533
52,23,739.239,243.152,6.315,4.638,173.377,0.180,100,1.362,0.734,0.343
53,5,747.500,238.500,5.642,1.128,0.000,0.599,100,5.000,0.200,1.000
54,8,752.875,241.625,4.992,2.040,146.044,0.479,100,2.447,0.409,0.593
55,10,706.500,246.000,7.602,1.675,133.212,0.482,100,4.539,0.220,0.714
56,43,749.221,250.035,14.736,3.715,8.851,0.099,100,3.966,0.252,0.267
57,2,711.000,248.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
58,9,717.500,248.500,10.155,1.128,0.000,0.340,100,9.000,0.111,1.000
59,13,727.731,251.269,9.794,1.690,171.042,0.301,100,5.795,0.173,0.510
60,17,712.676,255.324,8.512,2.543,134.387,0.218,100,3.347,0.299,0.386
61,13,699.808,256.808,9.703,1.706,68.183,0.301,100,5.688,0.176,0.591
62,53,750.575,262.085,18.038,3.741,168.900,0.071,100,4.821,0.207,0.173
63,24,714.125,270.875,13.307,2.296,99.623,0.163,100,5.795,0.173,0.444
64,5,717.900,263.100,4.076,1.562,159.006,0.764,100,2.610,0.383,0.769
65,4,696.500,264.000,3.216,1.583,31.717,1.000,100,2.031,0.492,0.800
66,41,704.622,276.524,12.264,4.256,114.846,0.102,100,2.881,0.347,0.213
67,1,693.500,264.500,1.128,1.128,0.000,1.000,100,1.000,1.000,1.000
68,15,692.500,271.500,7.640,2.500,61.494,0.253,100,3.056,0.327,0.429
69,9,728.944,272.056,7.880,1.454,100.625,0.363,100,5.419,0.185,0.720
70,14,735.357,275.857,9.327,1.911,22.511,0.288,100,4.880,0.205,0.538
71,15,724.433,280.433,10.032,1.904,35.403,0.333,100,5.269,0.190,0.545
72,12,764.833,281.250,8.270,1.847,40.237,0.363,100,4.476,0.223,0.571
73,5,717.300,283.700,3.833,1.661,135.000,0.873,100,2.308,0.433,0.769
74,20,687.350,288.550,9.221,2.762,113.625,0.203,100,3.339,0.300,0.385
75,16,738.188,288.938,12.360,1.648,93.875,0.234,100,7.499,0.133,0.727
76,8,721.500,288.000,6.024,1.691,118.155,0.479,100,3.563,0.281,0.667
77,7,694.071,293.071,5.052,1.764,23.296,0.621,100,2.863,0.349,0.667
78,15,710.900,295.233,4.829,3.955,178.338,0.238,100,1.221,0.819,0.462
79,29,679.293,302.155,13.034,2.833,66.806,0.153,100,4.601,0.217,0.319
80,2,761.500,295.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
81,27,697.241,303.537,12.371,2.779,129.903,0.183,100,4.452,0.225,0.370
82,6,736.000,298.500,4.594,1.663,19.330,0.686,100,2.763,0.362,0.667
83,9,743.500,297.500,10.155,1.128,0.000,0.340,100,9.000,0.111,1.000
84,2,712.000,299.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
85,9,716.722,301.278,6.825,1.679,135.000,0.565,100,4.065,0.246,0.720
86,18,726.444,301.944,13.898,1.649,24.169,0.245,100,8.428,0.119,0.600
87,10,708.000,303.500,7.231,1.761,68.156,0.419,100,4.107,0.243,0.588
88,2,733.500,302.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
89,21,714.071,311.071,11.679,2.289,52.207,0.236,100,5.101,0.196,0.442
90,25,694.540,313.460,13.842,2.300,134.819,0.199,100,6.019,0.166,0.417
91,7,707.214,310.786,5.930,1.503,100.822,0.472,100,3.946,0.253,0.737
92,2,676.500,315.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
93,12,680.500,318.000,7.810,1.956,112.758,0.332,100,3.992,0.250,0.571
94,27,665.130,319.130,12.038,2.856,37.131,0.169,100,4.215,0.237,0.342
95,9,704.722,317.722,6.825,1.679,45.000,0.565,100,4.065,0.246,0.720
96,4,675.000,318.500,3.216,1.583,58.283,0.857,100,2.031,0.492,0.800
97,27,671.574,329.907,10.159,3.384,97.048,0.183,100,3.002,0.333,0.327
98,7,677.214,322.786,5.414,1.646,155.953,0.564,100,3.288,0.304,0.700
99,61,704.156,342.402,15.306,5.074,99.984,0.068,100,3.017,0.332,0.177
100,41,685.500,337.622,12.806,4.076,99.436,0.113,100,3.141,0.318,0.267
101,31,663.435,340.661,9.013,4.379,133.283,0.140,100,2.058,0.486,0.283
102,5,673.700,340.700,3.833,1.661,45.000,0.873,100,2.308,0.433,0.769
103,10,678.600,341.900,7.392,1.722,128.189,0.482,100,4.291,0.233,0.645
104,10,673.300,347.200,6.560,1.941,111.731,0.368,100,3.380,0.296,0.556
105,6,678.500,348.000,4.633,1.649,50.310,0.686,100,2.810,0.356,0.750
106,24,680.083,357.125,7.913,3.862,150.795,0.155,100,2.049,0.488,0.340
107,13,659.962,361.038,7.824,2.116,126.986,0.333,100,3.699,0.270,0.491
108,31,694.565,368.177,12.772,3.090,81.905,0.143,100,4.133,0.242,0.328
109,35,707.957,363.929,9.463,4.709,137.564,0.116,100,2.009,0.498,0.237
110,13,669.038,361.346,7.605,2.176,3.973,0.267,100,3.494,0.286,0.456
111,5,677.100,363.900,4.076,1.562,110.994,0.674,100,2.610,0.383,0.769
112,11,666.682,368.318,8.240,1.700,122.340,0.420,100,4.848,0.206,0.629
113,6,676.333,369.833,5.208,1.467,82.534,0.555,100,3.550,0.282,0.750
114,9,682.500,367.500,10.155,1.128,0.000,0.340,100,9.000,0.111,1.000
115,21,648.357,375.024,8.992,2.973,28.949,0.244,100,3.024,0.331,0.400
116,4,672.000,372.500,4.514,1.128,0.000,0.740,100,4.000,0.250,1.000
117,17,660.382,376.735,10.903,1.985,134.490,0.315,100,5.492,0.182,0.557
118,10,667.600,377.100,7.924,1.607,70.120,0.368,100,4.931,0.203,0.667
119,10,675.900,377.600,8.816,1.444,99.085,0.325,100,6.104,0.164,0.714
120,22,654.409,385.727,16.476,1.700,83.404,0.162,100,9.691,0.103,0.550
121,10,628.900,380.600,6.984,1.823,136.096,0.482,100,3.831,0.261,0.625
122,4,666.250,383.250,3.192,1.596,108.435,0.857,100,2.000,0.500,0.800
123,7,679.643,384.786,6.116,1.457,115.051,0.419,100,4.197,0.238,0.609
124,7,674.786,384.786,5.325,1.674,45.000,0.687,100,3.182,0.314,0.737
125,27,633.204,387.574,7.947,4.326,10.846,0.169,100,1.837,0.544,0.303
126,4,665.500,388.000,4.514,1.128,90.000,0.645,100,4.000,0.250,1.000
127,5,669.500,386.500,5.642,1.128,0.000,0.599,100,5.000,0.200,1.000
128,7,673.071,391.357,5.939,1.501,109.173,0.419,100,3.957,0.253,0.583
129,13,681.192,390.192,8.477,1.953,14.725,0.316,100,4.342,0.230,0.531
130,13,659.885,392.885,9.517,1.739,38.587,0.393,100,5.472,0.183,0.634
131,16,667.812,396.688,11.456,1.778,120.717,0.276,100,6.442,0.155,0.571
132,56,646.679,411.000,15.539,4.589,66.735,0.077,100,3.386,0.295,0.256
133,25,628.660,403.660,10.235,3.110,177.692,0.183,100,3.291,0.304,0.362
134,53,659.877,420.274,15.200,4.439,77.728,0.077,100,3.424,0.292,0.209
135,15,632.300,417.633,9.654,1.978,86.994,0.253,100,4.880,0.205,0.566
136,10,637.700,423.200,7.446,1.710,29.852,0.449,100,4.354,0.230,0.645
137,20,631.850,433.350,15.026,1.695,88.218,0.181,100,8.867,0.113,0.656
138,19,615.342,445.921,17.196,1.407,98.477,0.161,100,12.223,0.082,0.613
139,15,648.700,438.700,11.800,1.618,3.703,0.223,100,7.291,0.137,0.556
140,7,658.929,440.071,5.135,1.736,143.825,0.687,100,2.959,0.338,0.667
141,10,637.500,442.000,8.861,1.437,9.590,0.346,100,6.167,0.162,0.714
142,8,644.625,444.875,6.300,1.617,114.495,0.479,100,3.896,0.257,0.696
