 ,Area,X,Y,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,11,37.500,1.136,8.177,1.713,0.000,0.349,100,4.774,0.209,0.647
2,8,46.125,1.125,5.830,1.747,175.560,0.520,100,3.337,0.300,0.696
3,3,53.500,0.500,3.385,1.128,0.000,0.967,100,3.000,0.333,1.000
4,5,59.300,1.700,3.833,1.661,135.000,0.873,100,2.308,0.433,0.769
5,11,66.227,2.227,8.095,1.730,12.805,0.371,100,4.679,0.214,0.537
6,7,83.500,0.929,4.567,1.952,0.000,0.621,100,2.340,0.427,0.778
7,37,100.419,2.770,16.561,2.845,179.159,0.115,100,5.822,0.172,0.349
8,5,130.500,1.100,3.244,1.963,0.000,0.764,100,1.653,0.605,0.833
9,7,140.500,0.929,4.567,1.952,0.000,0.621,100,2.340,0.427,0.778
10,4,152.000,1.500,3.216,1.583,121.717,0.857,100,2.031,0.492,0.800
11,5,155.700,1.700,3.833,1.661,45.000,0.873,100,2.308,0.433,0.769
12,28,164.214,8.643,10.064,3.543,88.010,0.167,100,2.841,0.352,0.315
13,7,175.500,0.929,4.567,1.952,0.000,0.621,100,2.340,0.427,0.778
14,2,180.000,0.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
15,3,183.167,1.167,2.365,1.615,45.000,1.000,100,1.464,0.683,0.857
16,10,192.000,4.500,7.758,1.641,102.933,0.368,100,4.727,0.212,0.625
17,16,204.125,1.500,10.328,1.972,0.000,0.254,100,5.236,0.191,0.525
18,11,236.500,2.500,8.275,1.693,144.547,0.448,100,4.889,0.205,0.647
19,21,250.881,5.595,7.468,3.580,77.171,0.203,100,2.086,0.479,0.341
20,7,294.643,1.071,4.903,1.818,173.868,0.621,100,2.697,0.371,0.737
21,11,303.045,2.955,7.372,1.900,125.199,0.420,100,3.881,0.258,0.595
22,11,328.136,1.591,6.265,2.235,10.072,0.371,100,2.803,0.357,0.595
23,7,338.500,0.929,4.567,1.952,0.000,0.621,100,2.340,0.427,0.778
24,31,352.694,6.790,8.570,4.606,109.928,0.160,100,1.861,0.537,0.288
25,9,363.833,1.611,5.273,2.173,2.809,0.434,100,2.426,0.412,0.545
26,16,388.000,2.875,6.456,3.155,179.336,0.276,100,2.046,0.489,0.438
27,3,397.500,0.500,3.385,1.128,0.000,0.967,100,3.000,0.333,1.000
28,17,411.147,2.206,8.894,2.434,6.248,0.265,100,3.655,0.274,0.493
29,14,423.643,1.857,11.538,1.545,169.619,0.262,100,7.469,0.134,0.622
30,7,433.500,1.500,5.499,1.621,28.155,0.621,100,3.393,0.295,0.700
31,4,450.500,1.000,3.216,1.583,148.283,1.000,100,2.031,0.492,0.800
32,2,453.500,1.000,2.257,1.128,90.000,1.000,100,2.000,0.500,1.000
33,4,488.250,1.250,3.192,1.596,161.565,0.857,100,2.000,0.500,0.800
34,7,513.500,0.929,4.567,1.952,0.000,0.621,100,2.340,0.427,0.778
35,17,532.029,4.029,8.346,2.593,45.926,0.245,100,3.218,0.311,0.430
36,6,586.500,2.000,4.594,1.663,109.330,0.686,100,2.763,0.362,0.667
37,7,590.929,1.929,5.135,1.736,36.175,0.687,100,2.959,0.338,0.667
38,42,615.643,10.524,13.451,3.976,92.002,0.105,100,3.383,0.296,0.225
39,6,626.167,1.000,3.995,1.912,170.538,0.686,100,2.089,0.479,0.800
40,12,641.417,3.083,8.820,1.732,139.921,0.419,100,5.091,0.196,0.632
41,10,669.300,1.800,7.721,1.649,22.198,0.449,100,4.682,0.214,0.625
42,9,680.500,1.056,6.348,1.805,0.000,0.447,100,3.516,0.284,0.692
43,28,708.429,8.357,10.734,3.321,107.769,0.142,100,3.232,0.309,0.320
44,7,731.214,1.786,5.325,1.674,135.000,0.687,100,3.182,0.314,0.737
45,10,737.500,2.000,7.796,1.633,27.344,0.449,100,4.773,0.210,0.667
46,13,766.731,1.654,7.544,2.194,175.063,0.352,100,3.438,0.291,0.542
47,3,788.500,0.500,3.385,1.128,0.000,0.967,100,3.000,0.333,1.000
48,2,797.000,0.500,2.257,1.128,0.000,1.000,100,2.000,0.500,1.000
49,7,825.500,0.929,4.567,1.952,0.000,0.621,100,2.340,0.427,0.778
50,44,568.432,6.114,12.380,4.525,153.035,0.104,100,2.736,0.366,0.203
51,17,658.971,2.441,9.770,2.215,7.407,0.255,100,4.410,0.227,0.447
52,26,177.654,11.462,14.351,2.307,79.155,0.164,100,6.222,0.161,0.419
53,15,466.500,6.500,8.249,2.315,37.982,0.276,100,3.563,0.281,0.455
54,10,453.000,7.500,8.861,1.437,99.590,0.325,100,6.167,0.162,0.714
55,18,512.611,9.000,7.431,3.084,110.891,0.276,100,2.410,0.415,0.462
56,26,59.154,14.038,14.460,2.289,72.011,0.164,100,6.316,0.158,0.430
57,32,157.219,14.281,13.312,3.061,127.396,0.136,100,4.349,0.230,0.281
58,59,373.246,12.246,10.607,7.083,141.268,0.074,100,1.498,0.668,0.277
59,12,429.667,9.000,8.756,1.745,75.009,0.332,100,5.017,0.199,0.632
60,23,754.630,7.935,7.440,3.936,125.385,0.213,100,1.890,0.529,0.346
61,23,589.413,15.587,16.588,1.765,99.665,0.154,100,9.396,0.106,0.529
62,7,648.643,5.643,6.247,1.427,5.512,0.515,100,4.378,0.228,0.737
63,17,663.382,11.382,6.529,3.315,45.000,0.189,100,1.970,0.508,0.347
64,13,731.731,9.731,9.687,1.709,61.288,0.333,100,5.669,0.176,0.619
65,8,6.250,9.000,5.126,1.987,40.851,0.370,100,2.580,0.388,0.516
66,16,438.688,11.188,8.478,2.403,39.739,0.254,100,3.528,0.283,0.421
67,10,654.600,9.900,8.273,1.539,99.232,0.368,100,5.376,0.186,0.606
68,4,0.750,8.750,3.192,1.596,108.435,0.857,100,2.000,0.500,0.800
69,14,645.786,12.929,11.382,1.566,108.955,0.236,100,7.267,0.138,0.583
70,24,686.167,10.833,5.771,5.295,89.132,0.194,100,1.090,0.918,0.485
71,13,291.269,9.731,9.255,1.788,157.227,0.316,100,5.175,0.193,0.578
72,11,301.045,11.045,7.372,1.900,35.199,0.420,100,3.881,0.258,0.595
73,14,309.643,10.857,9.922,1.796,159.908,0.302,100,5.523,0.181,0.538
74,3,827.500,9.500,3.385,1.128,90.000,0.809,100,3.000,0.333,1.000
75,29,258.155,14.224,6.916,5.339,84.151,0.128,100,1.295,0.772,0.400
76,8,601.500,13.000,9.027,1.128,90.000,0.355,100,8.000,0.125,1.000
77,21,804.976,11.976,6.674,4.006,15.689,0.206,100,1.666,0.600,0.382
78,3,148.500,10.500,3.385,1.128,0.000,0.967,100,3.000,0.333,1.000
79,31,556.532,14.597,6.890,5.729,39.626,0.144,100,1.203,0.832,0.411
80,5,1.100,13.100,4.076,1.562,69.006,0.674,100,2.610,0.383,0.769
81,14,523.000,12.500,11.975,1.489,11.728,0.262,100,8.045,0.124,0.636
82,13,533.577,14.423,9.350,1.770,144.599,0.371,100,5.281,0.189,0.605
83,25,190.780,21.220,17.455,1.824,112.018,0.164,100,9.572,0.104,0.490
84,8,226.000,12.500,9.027,1.128,0.000,0.381,100,8.000,0.125,1.000
85,23,405.674,14.630,11.960,2.449,168.673,0.188,100,4.884,0.205,0.407
86,34,565.588,21.853,12.921,3.350,83.314,0.134,100,3.857,0.259,0.306
87,40,673.300,22.475,9.149,5.567,42.640,0.110,100,1.643,0.608,0.240
88,17,746.206,17.735,10.209,2.120,86.060,0.226,100,4.815,0.208,0.453
89,39,37.474,19.910,10.669,4.654,120.132,0.100,100,2.292,0.436,0.198
90,27,293.167,20.833,8.798,3.908,93.649,0.183,100,2.251,0.444,0.335
91,13,19.808,15.962,5.901,2.805,27.314,0.267,100,2.104,0.475,0.406
92,26,767.038,19.538,10.108,3.275,39.389,0.205,100,3.086,0.324,0.380
93,11,517.500,19.500,8.112,1.727,110.593,0.371,100,4.699,0.213,0.595
94,8,656.250,18.750,6.896,1.477,81.650,0.410,100,4.668,0.214,0.727
95,39,697.218,22.910,10.219,4.859,173.641,0.102,100,2.103,0.476,0.214
96,30,28.667,25.300,9.336,4.092,81.953,0.149,100,2.282,0.438,0.267
97,9,136.611,19.389,6.702,1.710,113.876,0.416,100,3.920,0.255,0.643
98,17,79.676,22.324,10.082,2.147,139.084,0.276,100,4.697,0.213,0.493
99,17,8.912,19.559,10.935,1.979,172.358,0.226,100,5.524,0.181,0.557
100,15,719.367,19.767,7.618,2.507,18.117,0.302,100,3.038,0.329,0.462
101,15,91.233,23.233,9.121,2.094,30.290,0.276,100,4.356,0.230,0.492
102,5,117.500,19.500,5.642,1.128,0.000,0.599,100,5.000,0.200,1.000
103,5,123.500,19.500,5.642,1.128,0.000,0.599,100,5.000,0.200,1.000
104,9,170.056,20.944,6.961,1.646,164.285,0.416,100,4.229,0.236,0.643
105,20,364.950,24.350,9.519,2.675,29.927,0.220,100,3.558,0.281,0.377
106,13,641.500,21.500,6.252,2.648,52.562,0.286,100,2.361,0.424,0.456
107,23,278.152,24.152,16.003,1.830,18.511,0.182,100,8.745,0.114,0.479
108,18,390.333,24.167,11.589,1.978,137.963,0.288,100,5.860,0.171,0.529
109,9,650.500,21.500,7.251,1.580,163.997,0.447,100,4.588,0.218,0.643
110,5,712.500,21.500,3.732,1.706,148.283,0.873,100,2.188,0.457,0.714
111,13,19.962,25.038,8.359,1.980,121.374,0.333,100,4.221,0.237,0.565
112,11,119.409,25.045,6.795,2.061,76.199,0.371,100,3.296,0.303,0.611
113,70,505.500,33.157,11.529,7.731,160.228,0.060,100,1.491,0.671,0.168
114,18,176.167,28.889,10.163,2.255,91.127,0.236,100,4.507,0.222,0.571
115,6,441.833,24.333,4.387,1.742,57.757,0.686,100,2.519,0.397,0.706
116,47,467.564,31.989,12.955,4.619,97.674,0.100,100,2.805,0.357,0.239
117,15,50.700,27.700,11.004,1.736,61.611,0.302,100,6.340,0.158,0.577
118,15,433.033,24.967,11.864,1.610,161.227,0.264,100,7.370,0.136,0.612
119,10,658.000,25.500,7.602,1.675,136.788,0.519,100,4.539,0.220,0.714
120,5,56.700,25.300,3.833,1.661,135.000,0.873,100,2.308,0.433,0.769
121,15,716.700,28.967,8.250,2.315,117.077,0.283,100,3.564,0.281,0.484
122,23,69.326,26.978,18.341,1.597,176.754,0.158,100,11.487,0.087,0.676
123,26,218.846,30.115,12.578,2.632,151.521,0.140,100,4.779,0.209,0.329
124,57,245.956,35.430,16.054,4.521,140.961,0.077,100,3.551,0.282,0.230
125,20,259.200,27.300,12.640,2.015,2.976,0.186,100,6.275,0.159,0.526
126,14,581.286,27.643,6.879,2.591,163.217,0.302,100,2.655,0.377,0.452
127,17,630.794,27.559,11.324,1.911,9.258,0.226,100,5.924,0.169,0.540
128,46,763.000,33.783,8.587,6.821,127.503,0.095,100,1.259,0.794,0.267
129,43,798.012,31.035,9.661,5.667,172.615,0.105,100,1.705,0.587,0.257
130,62,76.613,47.468,21.951,3.596,65.043,0.063,100,6.104,0.164,0.225
131,25,437.900,36.900,16.280,1.955,73.954,0.155,100,8.326,0.120,0.446
132,15,643.700,30.300,10.552,1.810,146.557,0.350,100,5.830,0.172,0.566
133,18,55.167,33.556,8.022,2.857,31.792,0.236,100,2.808,0.356,0.371
134,35,273.986,40.214,15.434,2.887,110.746,0.121,100,5.345,0.187,0.340
135,31,664.274,38.661,9.841,4.011,104.369,0.110,100,2.453,0.408,0.271
136,36,825.167,40.500,17.415,2.632,90.486,0.121,100,6.616,0.151,0.385
137,15,115.100,34.100,10.860,1.759,49.159,0.368,100,6.175,0.162,0.612
138,14,125.000,32.500,9.515,1.873,161.586,0.288,100,5.079,0.197,0.560
139,78,373.795,47.769,21.864,4.542,51.979,0.059,100,4.813,0.208,0.176
140,18,401.278,33.222,10.109,2.267,149.285,0.245,100,4.459,0.224,0.462
141,20,574.750,36.600,7.357,3.461,87.571,0.196,100,2.126,0.470,0.348
142,7,580.643,31.929,5.939,1.501,160.827,0.419,100,3.957,0.253,0.583
143,24,17.042,39.542,13.574,2.251,73.603,0.163,100,6.030,0.166,0.429
144,19,203.605,33.079,15.035,1.609,164.229,0.189,100,9.344,0.107,0.521
145,7,192.500,34.500,5.499,1.621,61.845,0.564,100,3.393,0.295,0.700
146,19,589.079,37.921,11.178,2.164,109.406,0.205,100,5.164,0.194,0.432
147,48,153.292,47.917,17.794,3.435,104.633,0.108,100,5.181,0.193,0.260
148,21,343.357,39.548,8.284,3.228,44.618,0.206,100,2.566,0.390,0.344
149,12,625.583,36.917,8.601,1.776,131.701,0.419,100,4.842,0.207,0.632
150,29,681.397,41.397,15.192,2.431,46.560,0.156,100,6.250,0.160,0.369
151,7,45.214,35.214,5.930,1.503,10.822,0.515,100,3.946,0.253,0.737
152,30,102.467,38.567,7.839,4.873,43.148,0.168,100,1.609,0.622,0.299
153,14,137.429,36.071,10.325,1.726,164.545,0.288,100,5.981,0.167,0.549
154,18,309.389,38.889,8.455,2.711,26.645,0.219,100,3.119,0.321,0.396
155,5,568.500,34.500,5.642,1.128,0.000,0.599,100,5.000,0.200,1.000
156,18,36.611,40.111,9.994,2.293,58.732,0.255,100,4.358,0.229,0.444
157,12,129.583,40.083,10.016,1.526,79.418,0.298,100,6.565,0.152,0.615
158,14,531.500,36.000,9.045,1.971,170.131,0.251,100,4.589,0.218,0.491
159,30,558.833,44.333,13.877,2.753,60.926,0.149,100,5.042,0.198,0.312
160,20,636.600,37.900,6.522,3.904,170.930,0.245,100,1.670,0.599,0.408
161,12,185.250,37.750,7.305,2.092,173.757,0.351,100,3.493,0.286,0.585
162,7,324.500,36.500,7.899,1.128,0.000,0.434,100,7.000,0.143,1.000
163,11,333.864,37.136,6.844,2.046,163.559,0.329,100,3.345,0.299,0.524
164,51,517.578,50.324,11.942,5.438,54.542,0.089,100,2.196,0.455,0.235
165,30,200.933,43.567,13.163,2.902,144.170,0.160,100,4.536,0.220,0.349
166,13,331.423,41.423,7.045,2.349,158.493,0.333,100,2.999,0.333,0.473
167,37,420.473,42.338,21.088,2.234,163.345,0.119,100,9.440,0.106,0.418
168,10,111.000,43.500,7.758,1.641,77.067,0.368,100,4.727,0.212,0.625
169,6,404.500,41.000,4.633,1.649,50.310,0.686,100,2.810,0.356,0.750
170,15,710.433,41.167,13.036,1.465,167.099,0.228,100,8.898,0.112,0.556
171,46,731.109,46.391,9.941,5.892,49.611,0.099,100,1.687,0.593,0.272
172,16,777.875,42.375,10.365,1.965,17.825,0.244,100,5.274,0.190,0.516
173,27,358.611,44.389,10.306,3.336,13.392,0.178,100,3.090,0.324,0.391
174,22,621.409,44.091,11.843,2.365,8.488,0.188,100,5.008,0.200,0.444
175,11,634.864,43.136,8.286,1.690,170.927,0.329,100,4.902,0.204,0.595
176,13,212.962,46.962,8.359,1.980,58.626,0.333,100,4.221,0.237,0.565
177,6,642.333,45.167,5.208,1.467,97.466,0.555,100,3.550,0.282,0.750
178,29,767.362,52.810,9.217,4.006,85.567,0.142,100,2.301,0.435,0.302
179,12,56.750,45.750,6.632,2.304,19.973,0.394,100,2.878,0.347,0.585
180,43,398.686,56.151,14.580,3.755,97.831,0.105,100,3.883,0.258,0.234
181,29,410.431,52.569,17.375,2.125,127.439,0.164,100,8.176,0.122,0.423
182,12,484.333,45.167,10.678,1.431,173.246,0.283,100,7.462,0.134,0.706
183,10,174.100,48.600,7.538,1.689,59.429,0.419,100,4.462,0.224,0.645
